h,G,Nm,chi,mag,C,m1,m2,m3,m4,m5,m6,m7
0.465,2.7053439899800265,0.0,2.1895787057674313e-11,0.30873265619384405,1.4137077895422303,0.11316320247743622,0.11316319706909729,1.6144541698308394e-07,3.153918015160344e-07,3.8196449441189704e-07,1.9385999934364477e-07,1.4272684621392858e-07
0.47000000000000003,2.70879318635325,0.0,2.6433757800343155e-11,0.31212229024139293,1.4118238487505,0.1112862427638035,0.11128629446625637,8.953134926658662e-08,2.018486075260638e-07,2.625425584708122e-07,1.541236348002936e-07,3.4319227546768065e-07
0.47500000000000003,2.7122800023856493,0.0,1.837078618715848e-11,0.31550604220965456,1.411094572904864,0.10936663103198802,0.10936700710462356,8.642402619192035e-08,1.8961794444021788e-07,1.9762414185349396e-07,4.2373231973484194e-07,4.2345193830528077e-07
0.48,2.7158044059939224,0.0,2.0784491467354706e-11,0.3188853996014078,1.4101429998042634,0.10740317241340192,0.10740300532109295,1.7528862342571827e-07,3.2813245628807445e-07,2.314969179056361e-07,3.03226004872466e-07,1.5425328112583083e-07
0.485,2.719366349199144,0.0,1.5514679391146327e-11,0.32226269967402116,1.4094737382096336,0.1053926562459886,0.1053928012369843,3.092890698462365e-07,4.7519149117483805e-07,3.966485421253236e-07,3.555348490404487e-07,2.4508591324215987e-07
0.49,2.7229657958241336,0.0,4.4310222028398415e-11,0.32563591690820365,1.4084176828351862,0.1033334479829035,0.10333349624579485,2.3680034190115885e-07,5.296972857401517e-07,3.210366325272853e-07,1.0541678873724495e-07,3.6046338070291666e-07
0.495,2.726602702150794,0.0,1.5883469416049335e-14,0.32900528921334216,1.4074129157808437,0.10122246450345769,0.1012223693590696,3.1039487612478354e-07,2.2989862100656828e-07,3.2735555543047677e-07,1.7413565429297073e-07,4.6228444514818297e-07
0.5,2.7302770092956186,0.0,5.4928345688769e-12,0.3323707492134463,1.4060291544790091,0.09905684908222209,0.0990568414615882,1.3987781853946902e-07,1.7282903187107248e-07,2.538131463416915e-07,1.2064018639971883e-07,8.009488487552504e-08
0.505,2.7339886715958714,0.0,1.7555888900008004e-12,0.33572779460770436,1.4054303327935973,0.09683310493071585,0.096833181836695,1.669522417038603e-07,1.4434217331321182e-07,2.4339379055662616e-07,1.116001195098966e-07,2.0887055922996818e-07
0.51,2.7377376345169804,0.0,1.6173908920384334e-12,0.3390838714362652,1.4045365011473159,0.09454765373062184,0.09454771398782587,2.9243123714000996e-07,2.961553655450037e-07,2.9564605926995594e-07,4.047696982002085e-07,2.1147981307066128e-07
0.515,2.7415238415430787,0.0,6.361557018373405e-13,0.34243270166388823,1.4044259704363293,0.09219605856134588,0.09219583838189678,1.1671004320104917e-07,2.2658758208924255e-07,1.052066959626404e-07,1.9136410951743304e-07,3.714905535078583e-07
0.52,2.7453472344502816,0.0,1.4543580472435067e-13,0.3457768768986999,1.4027136293838296,0.08977325306884781,0.08977328033255373,7.825911185862848e-08,1.7084217223896557e-07,1.7525840062366699e-07,1.6533995086268588e-07,1.9426312540625884e-07
0.525,2.749207750502557,0.0,6.244534571058292e-13,0.34911507080538695,1.402277721546448,0.08727380709711222,0.08727379817345263,7.775057613676108e-08,1.620834265303827e-07,1.6235157875484059e-07,2.26926755740213e-07,1.207172385466046e-07
0.53,2.753105327094211,0.0,2.170967359285038e-13,0.3524474500446088,1.4015381234770419,0.08469118408764396,0.08469111984383268,4.1879023278550065e-08,9.878687102521264e-08,2.3511459315279477e-07,1.2825103485322793e-07,1.2082303985736268e-07
0.535,2.757039897559545,0.0,2.130311446912187e-13,0.3557742410596763,1.4010979014093676,0.08201768780867687,0.08201772199705136,1.4780465294103828e-07,1.509544225357826e-07,2.821562878906711e-07,4.161751281523786e-07,2.9302656143442207e-07
0.54,2.7610113940133023,0.0,2.345556291907394e-12,0.3590940034479927,1.400428895205398,0.07924412725965323,0.07924470646331079,1.3911757870686328e-07,2.1481098534336919e-07,1.832230301437789e-07,2.641102229108484e-07,1.2537092140177356e-07
0.545,2.765019747084869,0.0,1.2166182236555866e-12,0.3624080168525597,1.3998527685963602,0.07636086432046774,0.07636075352053553,4.610001213259174e-08,1.058169004619124e-07,1.00198682247518e-07,9.24051032982592e-08,9.503703701684102e-08
0.55,2.769064882672755,0.0,3.262217799499353e-13,0.36571524858287124,1.3989720887766925,0.07335418653782987,0.07335398847183938,9.563571857760388e-08,7.219477432868786e-08,8.954847852157965e-08,6.438262083553232e-08,8.571385963601245e-08
0.555,2.7731467275422377,0.0,7.828680512345798e-14,0.3690157298950427,1.39874167848706,0.07020836865589719,0.07020889636999504,5.624168099218664e-08,7.66500680189364e-08,7.331611893694728e-08,6.907679500261977e-08,8.40733451512692e-08
