p,h,G,Nm,chi,m1,m2,m3,m4,m5,m6,m7
0.1,2.3000000000000003,225.28578574141963,0.0,-2.1562748544181355e-19,2.3083105980474275e-07,9.022714716608881e-08,2.2748452464320413e-07,9.047566248230443e-07,3.3007339535426314e-07,9.385904629281894e-07,3.188948061481598e-07
0.1,2.4000000000000004,235.1783263819294,0.0,1.825525796998075e-19,3.005688239375324e-07,1.1634227134698938e-07,1.5215321165818822e-07,9.087573202050703e-08,6.209505629433e-07,4.394377715336507e-07,1.1467074683853004e-06
0.1,2.5,245.07275933666546,0.0,-8.612149962441366e-25,8.370926655171538e-09,7.916836165097048e-09,1.0087545434592974e-08,3.569816190455089e-09,5.588632881499166e-10,3.2399739702222196e-09,4.13939979077817e-09
0.1,2.6,254.96897746964024,0.0,-4.0092141026959835e-21,5.641031663998865e-08,6.106329951179526e-08,5.2511547428704496e-08,9.610972663413879e-08,1.2536430625853672e-07,1.4338894615959607e-07,2.4460554196175497e-07
0.1,2.7,264.8668806597928,0.0,5.424852889643124e-21,6.419610226033304e-08,8.608552743873919e-08,6.775816066616706e-08,2.455346796720391e-07,1.8616720010963157e-07,2.0279650227654753e-07,1.856597808687595e-07
0.1,2.8000000000000003,274.76637947483067,0.0,1.2118076408185475e-19,1.1956436680170123e-06,1.179714638087987e-06,1.1699118006188368e-06,2.4953192073081078e-06,2.317103419062083e-06,2.3509961271045167e-06,2.4010804886470977e-06
0.1,2.9000000000000004,284.66739608121924,0.0,6.052303097782155e-26,5.862612897665642e-09,5.057079498980774e-09,4.4164867201842576e-09,7.049650492131196e-10,3.871248593682353e-09,3.576001592518302e-09,3.46818184584046e-09
0.1,3.0,294.5698500374678,0.0,-1.914796942804887e-24,2.3072943509528475e-09,4.566086990339925e-09,7.159405212545163e-09,3.4846115666471282e-09,2.7022431111501615e-09,3.12822054126947e-09,5.187485386602519e-09
0.15000000000000002,0.0,88.57668525114495,8.0,9.372895127783078e-06,0.37939635756031387,0.3794016781093259,0.37940090765519174,0.07842945786254081,0.0784302739696519,0.0784322905434188,0.07842820606212277
0.15000000000000002,0.1,88.80471598219665,8.0,-0.039231063676756786,0.3788903275596714,0.37890251846833656,0.3788930070388032,0.07827185648686506,0.07827236299307648,0.07827181928377708,0.07700714252450798
0.15000000000000002,0.2,89.49521714568016,8.0,-0.08492070831830141,0.377341838271088,0.3773354258596445,0.37734350268548383,0.07775690936109339,0.07775927513106361,0.0777568728254171,0.07276369968460805
0.15000000000000002,0.30000000000000004,90.66488241082311,8.0,-0.14124666930270202,0.37462468330901505,0.3746445178299266,0.3746289742667954,0.07680342320337397,0.07680412354782436,0.07680300083814799,0.0658539950006606
0.15000000000000002,0.4,92.33420925745696,8.0,-0.20630674202886753,0.3707220982368958,0.3706450987755693,0.3706368753759486,0.07543275537610708,0.07543693806183357,0.07543634591311617,0.05675569933799138
0.15000000000000002,0.5,94.51948202333111,2.0,-0.269869315861954,0.3653938125227823,0.3654114748197729,0.36538305051031,0.073879429273713,0.0738766659955886,0.07387908283339856,0.0463411984127323
0.15000000000000002,0.6000000000000001,97.24597110513423,2.0,-0.30898821453746317,0.3583765727105283,0.3585696067522073,0.3582380996383001,0.07200520327093812,0.07199736736947722,0.07200734338400168,0.03318798037078503
